Order_ID,Order_number,User_id,Order_Created_Date,Order_Status,Order_date,Order_Approved_Date,Purchase_Order_Status,Purchase_Order_Created_Date,Purchase_Order_ID,Shipment_Date,AWB,Tracking_Status
6836692,#1016,8557,2024-07-31,booked,2024-07-31,2024-07-31,new,02-08-2024,102,2024-08-17,80577462700,rto in transit
6836692,#1016,8557,2024-07-31,booked,2024-07-31,2024-07-31,booked,02-08-2024,108,2024-08-17,80577462700,rto in transit
6837284,#1017,8557,2024-07-31,booked,2024-07-31,2024-07-31,new,02-08-2024,102,2024-08-17,80577462722,rto delivered
6837284,#1017,8557,2024-07-31,booked,2024-07-31,2024-07-31,booked,02-08-2024,108,2024-08-17,80577462722,rto delivered
6839644,#1019,8557,2024-07-31,booked,2024-07-31,2024-07-31,new,02-08-2024,102,2024-08-17,80577462685,exception
6839644,#1019,8557,2024-07-31,booked,2024-07-31,2024-07-31,booked,02-08-2024,108,2024-08-17,80577462685,exception
6841805,#FF8655,8372,2024-08-01,booked,2024-08-01,2024-08-01,new,02-08-2024,104,2024-08-14,81754240481,delivered
6841805,#FF8655,8372,2024-08-01,booked,2024-08-01,2024-08-01,booked,02-08-2024,109,2024-08-14,81754240481,delivered
6841868,#1020,8557,2024-08-01,booked,2024-08-01,2024-08-01,new,02-08-2024,102,2024-08-17,80577462674,exception
6841868,#1020,8557,2024-08-01,booked,2024-08-01,2024-08-01,booked,02-08-2024,108,2024-08-17,80577462674,exception
6846169,#1021,8557,2024-08-01,booked,2024-08-01,2024-08-01,new,02-08-2024,102,2024-08-17,80577462696,rto delivered
6846169,#1021,8557,2024-08-01,booked,2024-08-01,2024-08-01,booked,02-08-2024,108,2024-08-17,80577462696,rto delivered
6846727,#1022,8557,2024-08-01,booked,2024-08-01,2024-08-01,new,02-08-2024,102,2024-08-17,80577462652,rto delivered
6846727,#1022,8557,2024-08-01,booked,2024-08-01,2024-08-01,booked,02-08-2024,108,2024-08-17,80577462652,rto delivered
6847465,#AW991023,2005,2024-08-01,booked,2024-08-01,2024-08-01,new,02-08-2024,103,2024-08-02,153517340101982,delivered
6847465,#AW991023,2005,2024-08-01,booked,2024-08-01,2024-08-01,new,02-08-2024,105,2024-08-02,153517340101982,delivered
6847465,#AW991023,2005,2024-08-01,booked,2024-08-01,2024-08-01,booked,02-08-2024,106,2024-08-02,153517340101982,delivered
6849813,#FF8662,8372,2024-08-01,booked,2024-08-01,2024-08-02,booked,05-08-2024,112,2024-08-09,80570754482,delivered
6852197,#1023,8557,2024-08-01,booked,2024-08-01,2024-08-01,new,02-08-2024,102,2024-08-17,80577462641,delivered
6852197,#1023,8557,2024-08-01,booked,2024-08-01,2024-08-01,booked,02-08-2024,108,2024-08-17,80577462641,delivered
6856499,#1025,8557,2024-08-01,booked,2024-08-01,2024-08-02,booked,05-08-2024,111,2024-08-17,80577462512,rto in transit
6860496,#1026,8557,2024-08-02,booked,2024-08-02,2024-08-02,booked,02-08-2024,108,2024-08-17,80577462626,rto delivered
6860827,#1027,8557,2024-08-02,booked,2024-08-02,2024-08-02,booked,02-08-2024,108,2024-08-17,80577462593,rto delivered
6861601,#1028,8557,2024-08-02,booked,2024-08-02,2024-08-02,booked,02-08-2024,108,2024-08-17,80577462604,rto in transit
6865607,#1029,8557,2024-08-02,booked,2024-08-02,2024-08-02,booked,05-08-2024,111,2024-08-17,80577462490,rto in transit
6867778,#1030,8557,2024-08-02,booked,2024-08-02,2024-08-02,booked,05-08-2024,111,2024-08-17,80577462523,rto in transit
6869564,#1031,8557,2024-08-02,booked,2024-08-02,2024-08-02,booked,05-08-2024,111,2024-08-17,153517340212280,rto delivered
6871461,#1032,8557,2024-08-02,booked,2024-08-02,2024-08-02,booked,05-08-2024,111,2024-08-17,80577462501,exception
6871640,#1033,8557,2024-08-02,booked,2024-08-02,2024-08-02,booked,05-08-2024,111,2024-08-17,80577462486,delivered
6874184,#1035,8557,2024-08-02,booked,2024-08-02,2024-08-02,booked,05-08-2024,111,2024-08-17,80577462394,rto delivered
6878747,#1036,8557,2024-08-03,booked,2024-08-03,2024-08-03,booked,05-08-2024,111,2024-08-17,80577462383,rto delivered
6879138,#FF8688,8372,2024-08-03,booked,2024-08-03,2024-08-06,booked,09-08-2024,118,2024-08-21,80580563895,delivered
6879769,#FF8689,8372,2024-08-03,booked,2024-08-03,2024-08-03,booked,03-08-2024,110,2024-08-14,81754240492,delivered
6880987,#1037,8557,2024-08-03,booked,2024-08-03,2024-08-03,booked,05-08-2024,111,2024-08-17,80577462416,rto delivered
6882389,#1038,8557,2024-08-03,booked,2024-08-03,2024-08-03,booked,05-08-2024,111,2024-08-17,80577462420,rto delivered
6885440,#1041,8557,2024-08-03,booked,2024-08-03,2024-08-03,booked,05-08-2024,111,2024-08-17,80577462405,rto delivered
6886134,#1042,8557,2024-08-03,booked,2024-08-03,2024-08-03,booked,05-08-2024,111,2024-08-17,80577462361,rto delivered
6887454,#FF8699,8372,2024-08-03,booked,2024-08-03,2024-08-04,booked,05-08-2024,112,2024-08-09,80570754530,delivered
6889666,#FF8701,8372,2024-08-03,booked,2024-08-03,2024-08-04,booked,05-08-2024,112,2024-08-09,80570754493,delivered
6891007,#1043,8557,2024-08-03,booked,2024-08-03,2024-08-03,booked,05-08-2024,111,2024-08-17,80577462346,rto delivered
6892620,#1044,8557,2024-08-03,booked,2024-08-03,2024-08-03,booked,05-08-2024,111,2024-08-17,80577462335,exception
6893222,#1046,8557,2024-08-04,booked,2024-08-04,2024-08-04,booked,05-08-2024,111,2024-08-17,153517340216340,rto delivered
6893488,#FF8703,8372,2024-08-04,booked,2024-08-04,2024-08-06,booked,09-08-2024,118,2024-08-21,80580563910,delivered
6899261,#FF8713,8372,2024-08-04,booked,2024-08-04,2024-08-05,booked,09-08-2024,118,2024-08-21,80580563873,delivered
6903043,#1048,8557,2024-08-04,booked,2024-08-04,2024-08-04,booked,05-08-2024,111,2024-08-17,80577462350,delivered
6904274,#1049,8557,2024-08-04,booked,2024-08-04,2024-08-04,booked,05-08-2024,111,2024-08-21,81763502870,delivered
6904416,#FF8721,8372,2024-08-04,booked,2024-08-04,2024-08-04,booked,05-08-2024,112,2024-08-09,81748092834,delivered
6904502,#FF8722,8372,2024-08-04,booked,2024-08-04,2024-08-04,booked,05-08-2024,112,2024-08-24,81767339824,delivered
6904502,#FF8722,8372,2024-08-04,booked,2024-08-04,2024-08-04,booked,05-08-2024,112,2024-08-24,81767339861,delivered
6904579,#1050,8557,2024-08-04,booked,2024-08-04,2024-08-04,booked,05-08-2024,111,2024-08-21,80580558715,delivered
6905371,#1051,8557,2024-08-04,booked,2024-08-04,2024-08-04,booked,05-08-2024,111,2024-08-17,80577462291,rto delivered
6908505,#1052,8557,2024-08-04,booked,2024-08-04,2024-08-04,booked,05-08-2024,111,2024-08-17,80577462313,rto delivered
6911422,#1053,8557,2024-08-05,booked,2024-08-05,2024-08-05,booked,09-08-2024,117,2024-08-17,80577462125,delivered
6916217,#FF8741,8372,2024-08-05,booked,2024-08-05,2024-08-05,booked,09-08-2024,118,2024-08-21,80580563884,delivered
6916351,#FF8742,8372,2024-08-05,booked,2024-08-05,2024-08-05,booked,09-08-2024,118,2024-08-21,80580563851,rto delivered
6918425,#FF8745,8372,2024-08-05,booked,2024-08-05,2024-08-05,booked,09-08-2024,118,2024-08-21,81763511093,delivered
6918762,#FF8747,8372,2024-08-05,booked,2024-08-05,2024-08-05,booked,09-08-2024,123,2024-08-21,80580556873,rto delivered
6919072,#1054,8557,2024-08-05,booked,2024-08-05,2024-08-05,booked,09-08-2024,117,2024-08-17,80577462114,rto in transit
6920013,#FF8751,8372,2024-08-05,booked,2024-08-05,2024-08-05,booked,09-08-2024,118,2024-08-21,81763511045,delivered
6920013,#FF8751,8372,2024-08-05,booked,2024-08-05,2024-08-05,booked,09-08-2024,118,2024-08-21,81763511082,delivered
6921297,#1055,8557,2024-08-05,booked,2024-08-05,2024-08-05,new,09-08-2024,120,2024-08-21,80580558660,rto delivered
6921297,#1055,8557,2024-08-05,booked,2024-08-05,2024-08-05,new,09-08-2024,121,2024-08-21,80580558660,rto delivered
6921297,#1055,8557,2024-08-05,booked,2024-08-05,2024-08-05,booked,09-08-2024,122,2024-08-21,80580558660,rto delivered
6922483,#FF8755,8372,2024-08-05,booked,2024-08-05,2024-08-06,booked,09-08-2024,118,2024-08-21,81763510986,delivered
6925477,#1056,8557,2024-08-05,booked,2024-08-05,2024-08-06,booked,09-08-2024,117,2024-08-17,80577462055,rto delivered
6928935,#FF8767,8372,2024-08-06,booked,2024-08-06,2024-08-07,booked,09-08-2024,118,2024-08-21,80580563814,delivered
6929541,#1057,8557,2024-08-06,booked,2024-08-06,2024-08-06,booked,09-08-2024,117,2024-08-17,80577462011,rto delivered
6930243,#FF8769,8372,2024-08-06,booked,2024-08-06,2024-08-07,booked,09-08-2024,118,2024-08-21,80580563803,rto delivered
6930513,#FF8770,8372,2024-08-06,booked,2024-08-06,2024-08-07,booked,09-08-2024,118,2024-08-21,81763510964,delivered
6930606,#FF8771,8372,2024-08-06,booked,2024-08-06,2024-08-07,booked,09-08-2024,118,2024-08-21,81763510850,delivered
6930606,#FF8771,8372,2024-08-06,booked,2024-08-06,2024-08-07,booked,09-08-2024,118,2024-08-21,81763510931,delivered
6930786,#1059,8557,2024-08-06,booked,2024-08-06,2024-08-06,booked,09-08-2024,117,2024-08-17,80577462033,rto delivered
6932653,#1256,9647,2024-08-06,booked,2024-08-06,2024-08-06,booked,09-08-2024,116,2024-08-21,SHBC7000689447,rto delivered
6934578,#FF8778,8372,2024-08-06,booked,2024-08-06,2024-08-07,booked,09-08-2024,118,2024-08-21,81763510905,delivered
